product-id,product-name,ext-prim-category-id,primary-product-category-id,categories,remove-from-categories,product-sku,parent-product-sku,position,short-description,long-description,list-price,hsn-code,start-selling-date,is-serialized,is-digital,product-type,weight,weight-uom-id,height,width,depth,dimension-uom-id,product-url-name,publish,sales-channel,bar-code,MPN,currency-uom-id,features,features-options,good-identifications,attributes,brand-name,image,additional-images,charge-shipping,shipping-weight,tags,remove-tags,taxable,comments
,24/7 Lip Treatment Nourishing Mask + Exfoliating Scrub,,,,,julep-7735861575703,,,,Upsell,,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7735861575703,,Julep,,,,,,,,
,24/7 Lip Treatment Nourishing Mask + Exfoliating Scrub,,,,,0231-0026016,julep-7735861575703,2,,,7.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:42560253329431,,Julep,,,,,,,,
,"The All-in-One Hazel Eye Kit (Eyes, Lips, & Cheeks)",,,,,julep-7636577255447,,,,"A curated all-in-one set, expertly designed to enhance the natural warmth, depth, and radiance of hazel eyes.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7636577255447,,Julep,,,,,,,,
,"The All-in-One Hazel Eye Kit (Eyes, Lips, & Cheeks)",,,,,LIP-EYE-HAZ,julep-7636577255447,1,,,56.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:42334600265751,,Julep,,,,,,,,
,Effortless Icons Starter Kit (6PC),,,,,julep-6913792213015,,,,"Kick off your clean beauty journey with this starter kit of Julep favorites—designed for quick, effortless application and everyday gorgeous results.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:6913792213015,,Julep,,,,,,,,
,Effortless Icons Starter Kit (6PC),,,,,SPEEDY-KIT,julep-6913792213015,1,,,69.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:40588959416343,,Julep,,,,,,,,
,Skip the Brush Contouring Trio,,,,,julep-6888560984087,,,,"It’s makeup made easy. Julep’s innovative Skip The Brush sticks are the convenient 2-in-1 product for monochrome color done fast. Get a radiant blush, plus a matching lip, in just a quick swipe! This trio includes three Skip the Brush 2-in-1 color sticks for cheeks and lips. Neutral Bronze is a neutral golden-bronze, Sheer Glow is a sheer soft-golden and Golden Guava is a shimmering peach-pink. Sculpt, shade and enhance! These colorful blush and bronzer sticks make it easy to get a contoured look without the complicated step-by-step. The color blends directly on your skin – no brushes needed! This curated trio of versatile color sticks includes everything you need to add a flush to your cheeks, a sculpt to your face and a soft luminous glow too! This three-piece set features the best of Julep’s Skip the Brush family, allowing you to create quick and easy looks on the go. Each is blended with rich emollients to moisturize, plus soft-focus powders to blur pores, fine lines and imperfections.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:6888560984087,,Julep,,,,,,,,
,Skip the Brush Contouring Trio,,,,,SKIP-BRUSH-TRI,julep-6888560984087,1,,,40.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:40564076838935,,Julep,,,,,,,,
,Brow 101 Clear Gel,,,,,julep-7537614159895,,,,Groom and perfect unruly brows with this universal gel. This clear formula creates a natural finish to help you look instantly put-together.,,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7537614159895,,Julep,,,,,,,,
,Brow 101 Clear Gel,,,,,0220-0002009,julep-7537614159895,1,,,18.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:42103336730647,,Julep,,,,,,,,
,Green Tea Makeup Removing Cleansing Cream,,,,,julep-7448374247447,,,,"This soothing cream cleanser works to effectively melt away stubborn makeup and grime, leaving skin clean and refreshed — never tight and dry.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7448374247447,,Julep,,,,,,,,
,Green Tea Makeup Removing Cleansing Cream,,,,,0250-0010008,julep-7448374247447,1,,,22.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:41911382605847,,Julep,,,,,,,,
,"All Day, Any Day Eyeliner Trio",,,,,julep-7339249205271,,,,"Everyday work makeup? Party-approved event makeup? We've got it handled. Enjoy long-wearing eyeliner for any occasion with this curated trio, featuring three covetable, versatile shades.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7339249205271,,Julep,,,,,,,,
,"All Day, Any Day Eyeliner Trio",,,,,H24-WPMGTRIO,julep-7339249205271,1,,,30.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:41669061312535,,Julep,,,,,,,,
,Order Protection,,,,,julep-7325049683991,,,,"Get peace of mind by protecting your order and shipment from loss, damage, or theft.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7325049683991,,Julep,,,,,,,,
,Order Protection - $0.20,,,,,Order Protection0,julep-7325049683991,1,,,0.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$0.20,SHOPIFY_PROD_ID:41643224793111,,Julep,,,,,,,,
,Order Protection - $0.70,,,,,Order Protection1,julep-7325049683991,2,,,0.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$0.70,SHOPIFY_PROD_ID:41643224825879,,Julep,,,,,,,,
,Order Protection - $1.70,,,,,Order Protection2,julep-7325049683991,3,,,1.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$1.70,SHOPIFY_PROD_ID:41643224858647,,Julep,,,,,,,,
,Order Protection - $2.20,,,,,Order Protection3,julep-7325049683991,4,,,2.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$2.20,SHOPIFY_PROD_ID:41643224891415,,Julep,,,,,,,,
,Order Protection - $2.70,,,,,Order Protection4,julep-7325049683991,5,,,2.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$2.70,SHOPIFY_PROD_ID:41643224924183,,Julep,,,,,,,,
,Order Protection - $3.20,,,,,Order Protection5,julep-7325049683991,6,,,3.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$3.20,SHOPIFY_PROD_ID:41643224956951,,Julep,,,,,,,,
,Order Protection - $3.70,,,,,Order Protection6,julep-7325049683991,7,,,3.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$3.70,SHOPIFY_PROD_ID:41643224989719,,Julep,,,,,,,,
,Order Protection - $4.20,,,,,Order Protection7,julep-7325049683991,8,,,4.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$4.20,SHOPIFY_PROD_ID:41643225022487,,Julep,,,,,,,,
,Order Protection - $4.70,,,,,Order Protection8,julep-7325049683991,9,,,4.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$4.70,SHOPIFY_PROD_ID:41643225055255,,Julep,,,,,,,,
,Order Protection - $5.20,,,,,Order Protection9,julep-7325049683991,10,,,5.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$5.20,SHOPIFY_PROD_ID:41643225088023,,Julep,,,,,,,,
